window	num_games	average_win_rate	standard_deviation
1	922326	0.4571221228	0.2500496653
2	626579	0.5039875259	0.1628033213
3	618422	0.5061289864	0.162368363
4	611106	0.5074442077	0.1619877214
5	604268	0.5085256873	0.1617036252
6	597968	0.509048143	0.1614762033
7	592211	0.5094668961	0.1612924759
8	586796	0.5098291399	0.1609702502
9	581795	0.5101271066	0.1606432109
10	577057	0.5103272294	0.1606219786
11	572581	0.5104736273	0.1604870503
12	568277	0.5105825152	0.1602783833
13	564200	0.5107061326	0.1599704791
14	560319	0.5106674948	0.1597205168
15	556662	0.5106292508	0.1595703622
16	553061	0.5105639342	0.1593232852
17	549631	0.5107588546	0.1592098211
18	546350	0.5107138281	0.1590256816
19	543212	0.5106472243	0.1589183951
20	540236	0.5105729718	0.1587229866
21	537314	0.5105878499	0.1585845733
22	534600	0.5104435092	0.1583860025
23	531855	0.5104255859	0.1583141647
24	529154	0.5104033986	0.1585020878
25	526664	0.5103354321	0.1584519939
26	524173	0.5103666156	0.1584106269
27	521812	0.5101521238	0.1584566944
28	519316	0.5100497578	0.1582701204
29	517052	0.5099303358	0.1582493714
30	514762	0.5097571305	0.1579533651
31	512498	0.5095692081	0.1577789777
32	510257	0.509583798	0.1576600037
33	508106	0.5092935332	0.1576393952
34	506108	0.5092456551	0.1576526335
35	504072	0.5093320002	0.1576837052
36	502094	0.5093713528	0.1577747085
37	500132	0.5094135148	0.1579392824
38	498205	0.5096901878	0.1579173975
39	496178	0.5096203379	0.1579722582
40	494345	0.5096653147	0.1579743313
41	492450	0.5097368261	0.1578792778
42	490632	0.5096791485	0.1578239951
43	488779	0.5098207984	0.1578141997
44	486960	0.5099028668	0.1576254055
45	485085	0.5098376573	0.1575658489
46	483342	0.5097802384	0.1575255106
47	481560	0.5097512252	0.1574337493
48	479821	0.5093455685	0.157445426
49	478097	0.5094501743	0.1572617028
50	476486	0.5094435094	0.1572574717
51	474859	0.5094366959	0.1572059183
52	473228	0.5094102631	0.1572325245
53	471625	0.5092314869	0.1570904818
54	470015	0.5091192834	0.1570364033
55	468321	0.5090929085	0.1570081222
56	466746	0.5089783308	0.1569555967
57	465156	0.5088621882	0.1568120672
58	463601	0.5089730177	0.1568895137
59	462000	0.5089989177	0.1568288076
60	460427	0.5089223699	0.1566301405
61	458893	0.5088972811	0.1567480826
62	457349	0.5088413881	0.1567808716
63	455817	0.5088566245	0.15685945
64	454257	0.5087126891	0.1569138564
65	452771	0.5086785594	0.1567638099
66	451252	0.5085546435	0.1568611596
67	449804	0.5085535033	0.1567266952
68	448324	0.5086185437	0.156768042
69	446885	0.5085229981	0.1569610079
70	445474	0.5085410147	0.1568697942
71	444038	0.5084175228	0.1567756031
72	442636	0.5085060863	0.1567811877
73	441209	0.5085567158	0.1566601277
74	439824	0.5086555077	0.1566817852
75	438409	0.5085953984	0.1566814774
76	436915	0.5087721868	0.1566387087
77	435522	0.5087563889	0.1566804507
78	434209	0.5087771096	0.1565347564
79	432835	0.5087617683	0.1566856688
80	431468	0.5090117923	0.1564744319
81	430065	0.5090018951	0.1564103123
82	428716	0.5089698075	0.1563953145
83	427336	0.5090509576	0.1564155891
84	426021	0.5089671636	0.1564142648
85	424662	0.5088135976	0.1564264388
86	423346	0.5086581661	0.1563552489
87	422041	0.5086953637	0.1562884704
88	420733	0.5085443737	0.1563931669
89	419417	0.508622445	0.1564187142
90	418082	0.5083323367	0.1565709348
91	416758	0.5084427893	0.1564910464
92	415459	0.5085060138	0.1565441722
93	414176	0.5082834351	0.1564265397
94	412829	0.5083826475	0.1563544384
95	411548	0.5085861188	0.1563467092
96	410206	0.5085744723	0.1565187155
97	408889	0.5086148074	0.1566655036
98	407584	0.508417406	0.1567394612
99	406294	0.5083183606	0.1565855488
100	405056	0.5083487222	0.1564194028
101	403830	0.5082599113	0.1563255571
102	402492	0.5081760631	0.1563011081
103	401147	0.5082520871	0.1563906945
104	399907	0.5083329374	0.1563893049
105	398631	0.5082148654	0.1563107291
106	397321	0.5083008449	0.1562296484
107	396073	0.5080982546	0.1562026793
108	394865	0.5081663353	0.1561947859
109	393586	0.5081811853	0.1561748848
110	392352	0.508223483	0.1560284146
